Gigabytes Accessed,(Effective) Gigabytes Accessed,Double Precision FLOPs,Single Precision FLOPs,Half Precision FLOPs,Tensor FLOPs,Run Time (s),(NCU) Total GFLOPs,GFLOPs/s,Compute Intensity,(Effective) Compute Intensity,(Double Precision) Compute Intensity,(Single Precision) Compute Intensity,(Half Precision) Compute Intensity,(Tensor) Compute Intensity,Workload
4345.321061979999,4319.852160260799,0.0,4374042867200.0,2164056536017.0,1341170647040000.0,6.2033599299999995,1347708.746443217,217254.64291142896,310.15170736983856,311.9802938723377,0.0,1.0066098234883738,0.49801994033345853,308.64707760601675,"ridger-MMfreeLM-2.7B  first prefill region: batch size: 256, tokens generated: 2, sequence length: 1000"
9.15129932,9.097661501376335,0.0,5733594624.0,5363895788.0,1341170647040.0,0.021063349999999998,1352.268137452,64200.05067816848,147.76788411855816,148.63909118265423,0.0,0.626533394167245,0.5861348864720556,146.55521583791884,"ridger-MMfreeLM-2.7B  first decode region: batch size: 256, tokens generated: 2, sequence length: 1000"
28.78231305,12.835100680648814,0.0,14875176897.0,8532698035.0,5340691169280.0,0.07527047,5364.099044212,71264.32243895912,186.36789318820922,417.9241891183081,0.0,0.5168165904928895,0.2964563000957284,185.5546202976206,"microsoft-bitnet-b1.58-2B-4T end to end with batch size: 1, tokens generated: 2, sequence length: 1000"
0.02089,0.009315625632761775,0.0,2621440.0,1920000.0,13421772800.0,6.579e-05,13.42631424,204078.3438212494,642.7148989947343,1441.2681197472662,0.0,0.12548779320248923,0.09191000478697943,642.4975011967449,"microsoft-bitnet-b1.58-2B-4T first linearFunction region: batch size: 1, tokens generated: 2, sequence length: 1000"
23.213501899999997,10.351761288932702,0.0,13950829088.0,6387064626.0,5262677114880.0,0.056125339999999996,5283.015008594,94128.87313634093,227.5837153460246,510.34938510823173,0.0,0.6009790831257563,0.27514438164110006,226.7075918812577,"microsoft-bitnet-b1.58-2B-4T  first prefill region: batch size: 1, tokens generated: 2, sequence length: 1000"
5.56848629,2.483194524595812,0.0,924347809.0,2145567233.0,78014054400.0,0.019100489999999998,81.083969442,4245.125095848327,14.561222784657335,32.65308804399768,0.0,0.16599624401697144,0.3853052914672795,14.009921249173086,"microsoft-bitnet-b1.58-2B-4T  first decode region: batch size: 1, tokens generated: 2, sequence length: 1000"
8846.13326705,8794.284095133853,0.0,2737757653726.0,1094664133829.0,1321414133022720.0,10.239591780000001,1325246.554810275,129423.76837705096,149.81082861893364,150.6940804361295,0.0,0.3094863677810028,0.12374492908742349,149.3775973220652,"microsoft-bitnet-b1.58-2B-4T end to end with batch size: 256, tokens generated: 2, sequence length: 1000"
5.83,5.79582906190244,0.0,655360000.0,491520000.0,3355443200000.0,0.01213,3356.59008,276718.0610057708,575.7444391080618,579.138902157032,0.0,0.11241166380789024,0.08430874785591767,575.547718696398,"microsoft-bitnet-b1.58-2B-4T first linearFunction region: batch size: 256, tokens generated: 2, sequence length: 1000"
8780.33844479,8728.874911089735,0.0,2708154463128.0,1091450173700.0,1317602014003200.0,10.172640359999999,1321401.618640028,129897.60493607268,150.49552212011935,151.38281074015995,0.0,0.30843394934678636,0.1243061620645882,150.06278200870798,"microsoft-bitnet-b1.58-2B-4T  first prefill region: batch size: 256, tokens generated: 2, sequence length: 1000"
65.72697226000001,65.34173172819271,0.0,29603190598.0,3196756929.0,3812119019520.0,0.06548907999999999,3844.918967047,58710.841060021005,58.49834299132828,58.84323640274825,0.0,0.45039638340401467,0.048636911439559435,57.99930969648471,"microsoft-bitnet-b1.58-2B-4T  first decode region: batch size: 256, tokens generated: 2, sequence length: 1000"
1076.4636529699999,480.0350597579562,0.0,264098559998.0,453856725809.0,206070664396800.0,1.520195,206788.619682607,136027.69360681163,192.09995536037854,430.7781598012324,0.0,0.24533904072779705,0.4216182539529262,191.43299806569783,"scaled_mmfree end to end with batch size: 1, tokens generated: 2, sequence length: 1000"
0.26368,0.11758468965278242,0.0,10485760.0,0.0,211392921600.0,0.0007417000000000001,211.40340736,285025.4919239584,801.7422912621358,1797.8820880869462,0.0,0.039766990291262135,0.0,801.7025242718446,"scaled_mmfree first linearFunction region: batch size: 1, tokens generated: 2, sequence length: 1000"
609.7578358,271.9136297250275,0.0,165381531721.0,156870681754.0,206029245644800.0,1.07525773,206351.497858275,191908.87179976376,338.41549176246764,758.8861877462629,0.0,0.27122493883825216,0.25726718468190946,337.8869996389475,"scaled_mmfree  first prefill region: batch size: 1, tokens generated: 2, sequence length: 1000"
466.70549281999996,208.12128539323635,0.0,98717028277.0,296985850007.0,41418752000.0,0.44489291999999997,437.121630284,982.5322243473778,0.9366112827229784,2.1003215959293984,0.0,0.21151889102593743,0.6363453067854553,0.08874708491158573,"scaled_mmfree  first decode region: batch size: 1, tokens generated: 2, sequence length: 1000"
