device,model,Weight Packing,batch size,tokens_per_second,run_time_seconds,Avg Prefill Time (s),Max Prefill Time (s),Min Prefill Time (s),Avg Single Deocde Time (s),Min Single Deocde Time (s),Max Single Deocde Time (s),Avg Deocde Time For 31 Tokens (s),Max Deocde Time For 31 Tokens (s),Min Deocde Time For 31 Tokens (s)
Tesla V100-SXM2-32GB,microsoft/bitnet-b1.58-2B-4T,False,256,385.1122182985945,21.27172212600708,12.631832551956176,12.639702558517456,12.626883745193481,0.2919574306857201,0.2798628807067871,0.30467915534973145,9.050680351257324,9.056432723999023,9.046309232711792
Tesla V100-SXM2-32GB,microsoft/bitnet-b1.58-2B-4T,False,128,337.82004657575243,12.12480387687683,6.356527042388916,6.382930517196655,6.349283933639526,0.19159081520572785,0.18544888496398926,0.20078158378601074,5.939315271377564,5.959406137466431,5.93078351020813
Tesla V100-SXM2-32GB,microsoft/bitnet-b1.58-2B-4T,False,64,252.18089590983513,8.121210527420043,3.238079786300659,3.258699655532837,3.2319514751434326,0.16000048422044325,0.155045747756958,0.1859445571899414,4.96001501083374,4.982547760009766,4.929172992706299
Tesla V100-SXM2-32GB,microsoft/bitnet-b1.58-2B-4T,False,32,164.85850811690366,6.211461019515991,1.6492282390594482,1.6504037380218506,1.6481575965881348,0.1468004595848822,0.14288544654846191,0.17928290367126465,4.550814247131347,4.6006529331207275,4.477074861526489
Tesla V100-SXM2-32GB,microsoft/bitnet-b1.58-2B-4T,False,16,93.49752892820322,5.4777764797210695,0.8798096179962158,0.8805520534515381,0.8793108463287354,0.1434044099623157,0.1376349925994873,0.17846083641052246,4.445536708831787,4.574035406112671,4.336307525634766
Tesla V100-SXM2-32GB,microsoft/bitnet-b1.58-2B-4T,False,8,52.553975692761554,4.8730583667755125,0.4808985710144043,0.4816319942474365,0.4798157215118408,0.14023893417850616,0.13229799270629883,0.17812514305114746,4.347406959533691,4.479051113128662,4.23207426071167
Tesla V100-SXM2-32GB,microsoft/bitnet-b1.58-2B-4T,False,4,27.713773584032456,4.621770668029785,0.2782318115234375,0.27967023849487305,0.2776367664337158,0.13555813143330236,0.1298542022705078,0.1709752082824707,4.202302074432373,4.251124382019043,4.165554761886597
Tesla V100-SXM2-32GB,microsoft/bitnet-b1.58-2B-4T,False,2,13.748460706746858,4.658845138549805,0.19516258239746093,0.19649958610534668,0.19432854652404785,0.13751255927547332,0.12959885597229004,0.17298555374145508,4.262889337539673,4.30259370803833,4.205606937408447
Tesla V100-SXM2-32GB,microsoft/bitnet-b1.58-2B-4T,False,1,7.052776101833534,4.541821050643921,0.14535231590270997,0.14798808097839355,0.14417195320129395,0.13244699047457786,0.12466025352478027,0.16710138320922852,4.105856704711914,4.197051286697388,4.045426607131958
Tesla V100-SXM2-32GB,ridger/MMfreeLM-2.7B,True,2048,2873.1784899747295,22.80974292755127,16.014151048660278,16.030234575271606,15.990314722061157,0.19123315964975665,0.1818535327911377,0.2671680450439453,5.928227949142456,6.1713104248046875,5.779606103897095
Tesla V100-SXM2-32GB,ridger/MMfreeLM-2.7B,True,1024,2301.5312764527407,14.23998441696167,8.025095891952514,8.032918691635132,8.013071537017822,0.18733897516804357,0.17064905166625977,0.2656435966491699,5.807508230209351,6.305633306503296,5.46445631980896
Tesla V100-SXM2-32GB,ridger/MMfreeLM-2.7B,True,512,1641.6850005200133,9.98114857673645,3.996447038650513,4.000475645065308,3.9897942543029785,0.17858463564226704,0.16950750350952148,0.2554917335510254,5.5361237049102785,5.693252801895142,5.450786352157593
Tesla V100-SXM2-32GB,ridger/MMfreeLM-2.7B,True,256,1049.6580249754047,7.809743356704712,2.0156532764434814,2.0345675945281982,2.003263235092163,0.18437335721908077,0.16951322555541992,0.2616293430328369,5.715574073791504,5.946761131286621,5.361862897872925
Tesla V100-SXM2-32GB,ridger/MMfreeLM-2.7B,True,128,610.6982304427705,6.7076671600341795,1.0195650577545166,1.0247657299041748,1.0154731273651123,0.1873230380396689,0.17004680633544922,0.28749704360961914,5.8070141792297365,6.13931131362915,5.488116264343262
Tesla V100-SXM2-32GB,ridger/MMfreeLM-2.7B,True,64,324.2583522495333,6.326465129852295,0.5261422157287597,0.5313911437988281,0.5234508514404297,0.18116967139705534,0.16873526573181152,0.2770109176635742,5.616259813308716,6.13939905166626,5.382871866226196
Tesla V100-SXM2-32GB,ridger/MMfreeLM-2.7B,True,32,175.77401543908692,5.831386756896973,0.2835698127746582,0.2859981060028076,0.28188204765319824,0.17537672750411495,0.16107487678527832,0.26135993003845215,5.436678552627564,5.644808053970337,5.278364658355713
Tesla V100-SXM2-32GB,ridger/MMfreeLM-2.7B,True,16,89.33945886337989,5.742716598510742,0.19350061416625977,0.2389235496520996,0.17113065719604492,0.17255928900934034,0.16146612167358398,0.25826525688171387,5.349337959289551,5.496607303619385,5.260974645614624
Tesla V100-SXM2-32GB,ridger/MMfreeLM-2.7B,True,8,43.397295369584334,5.913435649871826,0.19677085876464845,0.2519094944000244,0.17070794105529785,0.17922143320883474,0.16089272499084473,0.27611422538757324,5.555864429473877,5.754812479019165,5.291470050811768
