-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     878.749us         0.02%     878.749us       4.577us           0 B           0 B           0 B           0 B           192            --  
at::native::(anonymous namespace)::fill_index_and_se...         0.00%       0.000us         0.00%       0.000us       0.000us     877.532us         0.02%     877.532us       4.570us           0 B           0 B           0 B           0 B           192            --  
void at::native::radixSortKVInPlace<2, -1, 32, 4, fl...         0.00%       0.000us         0.00%       0.000us       0.000us     875.649us         0.02%     875.649us       4.561us           0 B           0 B           0 B           0 B           192            --  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     857.339us         0.02%     857.339us       4.465us           0 B           0 B           0 B           0 B           192            --  
                                     aten::masked_fill_         0.01%       2.066ms         0.02%       3.902ms      10.161us     812.346us         0.02%     812.346us       2.115us           0 B           0 B           0 B           0 B           384            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     812.346us         0.02%     812.346us       2.115us           0 B           0 B           0 B           0 B           384            --  
                                               aten::lt         0.02%       3.280ms         0.02%       5.218ms      13.379us     792.960us         0.02%     792.960us       2.033us           0 B           0 B     187.60 MB     187.60 MB           390            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     779.807us         0.01%     779.807us       1.354us           0 B           0 B           0 B           0 B           576            --  
                                    aten::_assert_async         0.00%     941.628us         0.01%       2.687ms       6.997us     732.734us         0.01%     732.734us       1.908us           0 B           0 B           0 B           0 B           384            --  
void at::native::_assert_async_cuda_kernel<bool>(boo...         0.00%       0.000us         0.00%       0.000us       0.000us     732.734us         0.01%     732.734us       1.908us           0 B           0 B           0 B           0 B           384            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     695.395us         0.01%     695.395us       3.622us           0 B           0 B           0 B           0 B           192            --  
                                               aten::eq         0.02%       4.732ms         0.04%       7.665ms      13.036us     658.204us         0.01%     658.204us       1.119us           0 B           0 B     294.00 KB     294.00 KB           588            --  
                                               aten::to         0.22%      47.501ms         0.25%      53.713ms       0.360us       0.000us         0.00%     643.232us       0.004us           0 B           0 B     750.01 MB           0 B        149226            --  
                                         aten::_to_copy         0.01%       1.417ms         0.03%       6.212ms      29.580us       0.000us         0.00%     643.232us       3.063us           0 B           0 B     750.01 MB           0 B           210            --  
void at_cuda_detail::cub::DeviceRadixSortHistogramKe...         0.00%       0.000us         0.00%       0.000us       0.000us     625.857us         0.01%     625.857us       3.260us           0 B           0 B           0 B           0 B           192            --  
                                     aten::exponential_         0.01%       1.725ms         0.01%       3.082ms      16.053us     606.813us         0.01%     606.813us       3.160us           0 B           0 B           0 B           0 B           192            --  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us     606.813us         0.01%     606.813us       3.160us           0 B           0 B           0 B           0 B           192            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     602.849us         0.01%     602.849us       3.241us           0 B           0 B           0 B           0 B           186            --  
void at_cuda_detail::cub::DeviceRadixSortHistogramKe...         0.00%       0.000us         0.00%       0.000us       0.000us     582.749us         0.01%     582.749us       3.035us           0 B           0 B           0 B           0 B           192            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     567.229us         0.01%     567.229us       2.954us           0 B           0 B           0 B           0 B           192            --  
                                              aten::cat         0.02%       5.295ms         0.04%       7.666ms      19.965us     548.192us         0.01%     548.192us       1.428us           0 B           0 B       4.59 MB       4.59 MB           384            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 21.202s
Self CUDA time total: 5.213s
