-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     200.096us         0.02%     200.096us       6.455us           0 b           0 b           0 b           0 b            31            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     189.796us         0.02%     189.796us       2.041us           0 b           0 b           0 b           0 b            93            --  
void at::native::radixSortKVInPlace<2, -1, 32, 4, fl...         0.00%       0.000us         0.00%       0.000us       0.000us     186.657us         0.02%     186.657us       6.021us           0 b           0 b           0 b           0 b            31            --  
                                               aten::lt         0.02%     480.931us         0.03%     759.326us      12.053us     185.918us         0.02%     185.918us       2.951us           0 b           0 b      30.29 Mb      30.29 Mb            63            --  
                                     aten::masked_fill_         0.01%     309.857us         0.02%     567.681us       9.156us     177.665us         0.02%     177.665us       2.866us           0 b           0 b           0 b           0 b            62            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     177.665us         0.02%     177.665us       2.866us           0 b           0 b           0 b           0 b            62            --  
                                    aten::_assert_async         0.01%     146.187us         0.01%     368.110us       5.937us     173.408us         0.02%     173.408us       2.797us           0 b           0 b           0 b           0 b            62            --  
void at::native::_assert_async_cuda_kernel<bool>(boo...         0.00%       0.000us         0.00%       0.000us       0.000us     173.408us         0.02%     173.408us       2.797us           0 b           0 b           0 b           0 b            62            --  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     170.337us         0.01%     170.337us       5.495us           0 b           0 b           0 b           0 b            31            --  
                                              aten::cat         0.03%     778.612us         0.04%       1.086ms      17.510us     167.263us         0.01%     167.263us       2.698us           0 b           0 b     271.00 Kb     271.00 Kb            62            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     167.263us         0.01%     167.263us       2.698us           0 b           0 b           0 b           0 b            62            --  
                                               aten::eq         0.03%     711.629us         0.04%       1.119ms      11.776us     164.640us         0.01%     164.640us       1.733us           0 b           0 b      47.50 Kb      47.50 Kb            95            --  
