-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.272ms         0.46%       6.272ms       4.525us           0 b           0 b           0 b           0 b          1386            --  
                                     aten::masked_fill_         0.01%     217.712us         0.02%     421.784us       9.586us       5.923ms         0.43%       6.056ms     137.642us           0 b           0 b           0 b           0 b            44            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.032ms         0.44%       6.032ms       8.567us           0 b           0 b           0 b           0 b           704            --  
                                           aten::cumsum         0.02%     347.381us         0.03%     540.080us      12.002us       5.925ms         0.43%       5.925ms     131.678us           0 b           0 b       2.69 Gb       2.69 Gb            45            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.923ms         0.43%       5.923ms     134.621us           0 b           0 b           0 b           0 b            44            --  
void at::native::tensor_kernel_scan_innermost_dim<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       5.719ms         0.42%       5.719ms     259.972us           0 b           0 b           0 b           0 b            22            --  
                                          aten::sigmoid         0.24%       4.989ms         0.41%       8.434ms      11.980us       4.984ms         0.36%       4.989ms       7.087us           0 b           0 b       4.88 Gb       4.88 Gb           704            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.984ms         0.36%       4.984ms       7.079us           0 b           0 b           0 b           0 b           704            --  
                                          aten::scatter         0.02%     334.131us         0.03%     597.689us      27.168us       3.932ms         0.29%       4.420ms     200.891us           0 b           0 b     687.50 Mb     687.50 Mb            22            --  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       3.932ms         0.29%       3.932ms     178.709us           0 b           0 b           0 b           0 b            22            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.900ms         0.28%       3.900ms     177.276us           0 b           0 b           0 b           0 b            22            --  
void at::native::mbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us       3.157ms         0.23%       3.157ms     143.500us           0 b           0 b           0 b           0 b            22            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.629ms         0.19%       2.629ms     119.502us           0 b           0 b           0 b           0 b            22            --  
at::native::(anonymous namespace)::fill_reverse_indi...         0.00%       0.000us         0.00%       0.000us       0.000us       2.597ms         0.19%       2.597ms     118.031us           0 b           0 b           0 b           0 b            22            --  
                                               aten::to         0.10%       2.117ms         0.19%       3.888ms       0.227us       0.000us         0.00%       2.432ms       0.142us           0 b           0 b       2.69 Gb           0 b         17101            --  
                                         aten::_to_copy         0.01%     116.191us         0.09%       1.771ms      70.829us       0.000us         0.00%       2.432ms      97.268us           0 b           0 b       2.69 Gb           0 b            25            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.268ms         0.17%       2.268ms     108.004us           0 b           0 b           0 b           0 b            21            --  
                                               aten::lt         0.02%     327.383us         0.03%     565.409us      12.565us       2.086ms         0.15%       2.212ms      49.147us           0 b           0 b     687.51 Mb     687.51 Mb            45            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.033ms         0.15%       2.033ms      92.399us           0 b           0 b           0 b           0 b            22            --  
                                           aten::argmax         0.01%     132.304us         0.01%     266.272us      12.103us       1.795ms         0.13%       1.888ms      85.814us           0 b           0 b           0 b           0 b            22            --  
                                              aten::min         0.01%     257.541us         0.03%     600.027us      27.274us       1.678ms         0.12%       1.841ms      83.699us           0 b           0 b      11.00 Kb           0 b            22            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.795ms         0.13%       1.795ms      81.577us           0 b           0 b           0 b           0 b            22            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.765ms         0.13%       1.765ms      26.736us           0 b           0 b           0 b           0 b            66            --  
                                               aten::le         0.01%     219.162us         0.01%     304.933us      13.861us       1.665ms         0.12%       1.665ms      75.676us           0 b           0 b     687.50 Mb     687.50 Mb            22            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.658ms         0.12%       1.658ms      75.341us           0 b           0 b           0 b           0 b            22            --  
                                              aten::max         0.02%     368.196us         0.10%       2.024ms      46.001us       1.475ms         0.11%       1.475ms      33.524us           0 b           0 b      22.00 Kb           0 b            44            --  
                                     aten::exponential_         0.01%     145.966us         0.03%     528.341us      24.015us       1.367ms         0.10%       1.468ms      66.747us           0 b           0 b           0 b           0 b            22            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.373ms         0.10%       1.373ms      62.403us           0 b           0 b           0 b           0 b            22            --  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us       1.367ms         0.10%       1.367ms      62.121us           0 b           0 b           0 b           0 b            22            --  
                                              aten::sum         0.01%     224.642us         0.02%     347.090us      15.091us       1.331ms         0.10%       1.335ms      58.022us           0 b           0 b      88.50 Kb      80.50 Kb            23            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.328ms         0.10%       1.328ms      60.348us           0 b           0 b           0 b           0 b            22            --  
